FECHA (YYMMDD);HORA (HHMM);;
100107;0400;8,54999;
100107;0500;8,17499;
100107;0600;8,5;
100107;0700;10;
100107;0800;11,525;
100107;0900;11,5;
100107;1000;12,35;
100107;1100;14,425;
100107;1200;15,7;
100107;1300;15,7;
100107;1400;15,1;
100107;1500;14,975;
100107;1600;13,85;
100107;1700;13,125;
100107;1800;12,525;
100107;1900;12,15;
100107;2000;11,8;
100107;2100;11,25;
100107;2200;10,75;
100107;2300;9,825;
100108;0000;9,14999;
100108;0100;8,89999;
100108;0200;8,92499;
100108;0300;8,92499;
100108;0400;8,75;
100108;0500;8,67499;
100108;0600;8,45;
100108;0700;9,375;
100108;0800;10,5;
100108;0900;11,1;
100108;1000;11,025;
100108;1100;11,3;
100108;1200;11,175;
100108;1300;11,125;
100108;1400;11,275;
100108;1500;10,125;
100108;1600;8,89999;
100108;1700;8,325;
100108;1800;8,375;
100108;1900;8,125;
100108;2000;7,975;
100108;2100;7,77499;
100108;2200;8,29999;
100108;2300;7,875;
100109;0000;8,09999;
100109;0100;7,89999;
100109;0200;7,39999;
100109;0300;7,1;
100109;0400;7,125;
100109;0500;7,25;
100109;0600;7,125;
100109;0700;6,975;
100109;0800;6,64999;
100109;0900;6,125;
100109;1000;6,85;
100109;1100;8,25;
100109;1200;10,525;
100109;1300;11,225;
100109;1400;12,1;
100109;1500;12,975;
100109;1600;13,1;
100109;1700;12,7;
100109;1800;11,8;
100109;1900;9,92499;
100109;2000;8,72499;
100109;2100;7,725;
100109;2200;7,52499;
100109;2300;7,975;
100110;0000;7,95;
100110;0100;7,925;
100110;0200;8,22499;
100110;0300;8,54999;
100110;0400;8,67499;
100110;0500;8,92499;
100110;0600;9,45;
100110;0700;10,4;
100110;0800;11,7;
100110;0900;13,95;
100110;1000;14,725;
100110;1100;14,95;
100110;1200;14,575;
100110;1300;15,175;
100110;1400;16,425;
100110;1500;17,35;
100110;1600;15,775;
100110;1700;15,95;
100110;1800;14,675;
100110;1900;14,1;
100110;2000;13,125;
100110;2100;12,95;
100110;2200;12,975;
100110;2300;12,7;
